ingredient_id,ingredient_name,category,cost_per_kg,ph,solubility,stability_score,approved
1,Glycerin,Humectant,12.5,6.5,High,88,1
2,Niacinamide,Active,45.0,6.0,Medium,91,1
3,Salicylic Acid,Active,52.0,3.8,Low,67,0
4,Aloe Vera Extract,Botanical,20.0,5.5,High,83,1
5,Vitamin C,Active,60.0,3.2,Low,58,0
6,Hyaluronic Acid,Humectant,95.0,6.8,High,94,1
7,Tea Tree Oil,Essential Oil,40.0,5.0,Medium,72,1
8,Retinol,Active,110.0,5.2,Low,55,0
9,Panthenol,Humectant,30.0,6.3,High,86,1
10,Shea Butter,Emollient,25.0,6.7,Medium,80,1
